attendance,study_hours,previous_marks,assignment_score,internal_marks,previous_gpa,participation,backlogs,composite_score,performance
74.4,3.5,65.3,85.9,65.9,6.65,3,2,54.6,Average
71.8,3.3,55.0,94.2,72.0,6.73,5,1,66.6,Good
55.3,7.7,81.2,89.9,56.7,6.19,7,1,71.8,Good
65.9,4.5,85.1,81.1,71.9,6.04,6,0,71.8,Good
69.6,1.6,34.8,74.2,77.2,6.78,5,0,57.4,Average
90.8,2.9,67.6,59.3,73.4,7.33,7,1,63.2,Average
80.8,5.4,85.9,85.1,77.3,6.66,9,0,82.9,Excellent
51.3,7.1,65.0,99.2,76.9,8.72,7,0,75.9,Good
80.5,1.3,79.7,79.1,41.6,7.81,6,0,56.6,Average
70.6,0.8,73.6,100.0,80.2,4.87,8,0,66.8,Good
66.5,6.8,73.5,51.1,59.3,7.83,5,1,65.9,Good
84.6,4.4,63.7,56.7,52.5,7.95,6,1,59.3,Average
90.4,2.4,48.5,86.8,52.3,6.49,6,0,61.8,Average
89.0,4.7,50.1,78.0,76.9,5.01,4,2,56.4,Average
64.3,0.5,79.3,93.7,66.4,7.11,6,0,58.3,Average
71.7,3.8,68.3,73.8,43.1,7.09,2,1,50.8,Average
80.6,4.3,65.8,61.0,77.6,5.53,10,1,58.7,Average
89.7,5.3,61.2,70.8,47.0,5.07,5,1,63.2,Average
69.3,2.2,63.1,51.0,72.2,6.98,10,0,51.4,Average
73.4,3.9,84.8,57.1,73.8,6.77,7,0,66.4,Good
60.5,2.3,62.6,88.6,84.2,6.52,8,2,53.8,Average
59.3,4.2,46.5,87.1,98.5,6.98,6,0,64.9,Average
87.4,2.4,79.9,79.4,48.2,5.56,7,2,51.2,Average
95.0,3.1,64.7,48.2,69.2,6.49,8,1,62.7,Average
75.0,2.2,68.5,68.6,65.6,7.85,8,0,59.3,Average
90.0,4.8,93.7,55.6,76.9,6.61,8,0,80.2,Excellent
81.1,5.2,67.7,91.6,73.5,4.76,6,0,69.5,Good
67.0,3.4,72.6,65.2,64.4,6.44,6,1,58.4,Average
81.1,3.9,49.1,57.7,62.9,5.6,3,3,46.2,Poor
97.5,1.5,64.5,74.4,52.1,7.47,8,0,65.3,Good
75.5,3.3,77.8,64.4,85.8,7.55,9,1,66.9,Good
97.9,3.7,43.1,96.3,77.3,4.78,10,1,64.2,Average
39.3,8.0,71.2,63.0,84.7,8.16,7,1,67.5,Good
87.5,2.0,69.6,53.0,65.0,5.54,5,0,62.5,Average
77.2,6.1,68.7,41.7,59.5,9.28,3,1,59.3,Average
71.8,5.4,84.6,73.5,52.7,7.03,9,2,64.6,Average
77.3,4.2,73.4,65.6,75.7,5.36,3,0,70.5,Good
48.2,6.6,91.6,52.6,53.4,5.5,6,1,63.4,Average
72.9,4.4,52.1,91.8,99.6,7.59,6,1,70.8,Good
81.0,4.4,70.2,84.0,49.1,6.55,6,1,63.8,Average
96.7,3.7,69.4,73.6,74.4,6.96,7,1,64.9,Average
68.7,5.8,50.9,94.5,95.1,9.36,7,1,67.8,Good
64.7,5.6,83.3,83.9,79.6,6.12,2,0,73.1,Good
69.0,2.8,99.0,61.7,72.8,7.18,7,1,69.0,Good
88.8,1.7,67.7,58.4,54.5,9.09,2,1,66.6,Good
80.6,3.5,76.1,86.3,47.9,7.48,8,0,71.8,Good
68.6,2.5,69.4,79.9,82.3,4.85,5,0,59.8,Average
83.2,3.7,56.6,76.5,94.1,7.81,2,1,62.2,Average
77.4,5.8,38.9,61.3,63.0,5.47,5,3,56.0,Average
89.6,3.1,56.7,83.1,51.8,9.07,5,2,56.7,Average
66.2,3.7,45.7,62.7,30.7,5.95,9,2,44.5,Poor
71.4,3.9,95.3,72.5,54.3,10.0,7,0,68.9,Good
70.5,5.2,66.2,95.7,68.2,9.15,7,2,70.4,Good
55.5,0.5,62.5,64.1,95.6,5.98,9,2,52.2,Average
80.1,2.8,82.2,50.4,80.8,7.13,6,0,64.8,Average
79.7,4.1,50.1,58.2,74.9,8.16,8,1,57.1,Average
76.1,5.7,55.7,88.9,63.6,8.2,8,1,67.7,Good
72.7,3.0,69.1,77.8,60.7,7.72,4,1,59.9,Average
56.2,0.8,84.5,72.1,92.5,8.85,9,0,69.8,Good
70.1,4.8,76.0,66.4,73.2,6.93,4,0,69.8,Good
71.2,2.8,72.0,81.3,36.4,6.59,8,0,60.1,Average
64.8,1.9,69.2,61.3,59.2,6.61,3,1,50.4,Average
73.7,2.8,74.4,78.6,56.3,8.3,8,0,65.7,Good
81.7,3.5,71.2,63.0,61.3,7.61,10,1,61.4,Average
100.0,2.8,51.5,60.5,79.0,7.51,6,0,65.7,Good
78.4,0.5,68.7,64.4,68.3,8.21,6,2,52.7,Average
79.6,5.2,50.8,68.4,68.8,4.23,8,2,52.9,Average
75.0,5.8,69.3,73.3,91.0,7.53,6,2,68.6,Good
49.1,4.8,60.3,77.5,58.9,7.41,10,2,53.0,Average
75.6,2.0,99.0,30.0,99.8,9.44,7,0,68.2,Good
76.8,3.5,67.4,61.9,59.3,4.96,6,0,60.1,Average
100.0,3.8,45.5,68.1,71.4,9.28,5,0,68.4,Good
73.3,4.8,65.9,96.6,65.5,7.21,5,3,58.3,Average
80.2,4.9,76.3,57.8,72.0,7.78,5,0,71.4,Good
75.5,2.6,94.8,76.4,77.1,9.45,6,0,77.0,Good
59.6,3.9,58.6,96.4,76.9,7.89,6,2,63.2,Average
92.0,4.5,42.7,54.3,58.0,7.66,5,2,54.3,Average
86.5,6.1,81.1,79.9,52.0,7.44,10,1,68.3,Good
87.1,4.9,45.9,62.0,100.0,6.42,4,1,63.2,Average
63.3,5.1,61.0,66.4,62.3,7.06,7,1,55.9,Average
95.6,3.9,63.9,62.0,81.2,6.1,8,1,72.2,Good
56.4,6.1,66.9,63.0,44.3,7.04,8,0,69.2,Good
84.2,4.5,79.0,100.0,65.5,3.83,6,1,70.9,Good
100.0,2.4,57.1,86.7,68.0,7.7,6,1,67.7,Good
62.1,6.0,63.6,90.5,77.6,6.93,7,0,72.0,Good
68.1,4.9,67.8,81.4,26.4,6.63,7,2,54.8,Average
77.4,3.1,70.4,49.9,72.7,7.41,6,1,54.2,Average
69.0,3.0,69.6,79.9,51.6,5.09,3,2,51.2,Average
54.3,4.3,75.0,90.1,75.2,9.8,6,2,59.3,Average
77.0,4.5,81.5,61.2,53.4,6.96,4,1,63.1,Average
61.1,4.1,74.3,88.5,56.3,6.9,5,0,65.0,Good
82.6,4.3,75.3,84.6,65.6,5.75,7,0,77.7,Good
63.1,6.5,42.7,100.0,53.2,7.13,7,2,60.5,Average
97.7,5.5,68.8,67.7,62.4,9.04,10,1,72.7,Good
65.0,4.1,75.7,57.5,50.9,8.55,5,0,61.5,Average
71.5,5.3,79.7,68.6,40.7,8.3,8,0,73.6,Good
87.4,2.1,56.9,95.5,86.3,7.86,7,0,70.1,Good
58.8,4.4,57.5,46.6,49.3,6.6,9,3,45.1,Poor
79.2,6.7,58.8,43.0,67.1,5.07,8,0,65.5,Good
94.3,3.5,76.6,75.3,82.0,6.82,4,0,71.6,Good
53.5,2.4,84.5,67.4,60.2,6.77,3,1,55.6,Average
78.6,2.8,61.5,74.1,56.8,8.57,7,0,56.8,Average
79.6,2.1,82.5,88.2,73.6,7.53,5,2,56.8,Average
86.9,2.5,70.0,65.7,87.9,9.36,5,0,71.5,Good
58.7,3.2,66.0,45.9,51.3,8.78,4,0,61.0,Average
57.5,1.6,64.6,100.0,67.6,6.46,7,1,58.7,Average
83.3,3.8,79.9,59.0,42.3,4.59,10,0,61.6,Average
80.2,5.2,73.2,58.1,63.7,9.04,6,0,64.8,Average
79.5,2.3,99.0,90.6,70.5,9.0,8,0,79.1,Good
80.9,6.2,54.4,68.2,56.3,5.19,6,1,58.9,Average
66.5,4.6,76.3,73.0,62.7,9.21,4,2,62.2,Average
79.3,5.4,59.5,81.2,47.5,7.63,8,0,68.8,Good
80.1,2.7,54.1,90.3,71.2,7.32,4,3,54.2,Average
66.0,5.2,67.8,69.0,86.9,9.36,7,1,67.9,Good
100.0,2.1,70.2,96.8,52.4,8.98,6,0,72.3,Good
82.6,5.2,99.0,42.0,60.0,8.01,8,0,72.8,Good
59.3,4.1,65.1,85.4,78.0,7.76,4,1,59.9,Average
85.2,4.7,49.9,61.4,89.4,7.96,7,0,65.6,Good
62.4,1.9,72.4,94.6,46.1,6.54,5,0,51.5,Average
87.0,2.4,34.8,76.1,67.3,7.02,5,1,54.0,Average
92.2,4.8,66.5,63.9,74.5,5.84,1,1,69.4,Good
64.5,2.3,68.3,83.9,68.4,6.63,10,1,62.8,Average
89.5,4.5,80.7,87.4,30.4,6.59,8,0,70.5,Good
81.8,1.6,83.6,83.6,78.0,6.21,5,0,66.3,Good
87.5,5.2,59.9,58.6,94.3,7.29,4,1,70.7,Good
100.0,1.8,65.6,66.7,71.9,6.65,6,0,66.0,Good
72.6,4.7,55.7,73.9,53.5,7.8,8,2,61.5,Average
65.4,4.8,50.0,73.4,61.8,4.83,3,1,50.9,Average
63.5,2.7,73.0,85.2,98.3,6.94,6,2,58.8,Average
64.6,4.7,47.6,43.8,84.6,7.28,10,0,58.8,Average
74.9,4.2,61.4,79.0,80.2,6.67,4,3,50.0,Average
80.8,2.9,52.1,69.7,75.7,6.86,7,1,56.0,Average
79.9,2.2,76.8,61.4,59.4,4.88,10,1,59.4,Average
87.6,0.7,96.8,62.9,66.8,7.6,8,0,66.4,Good
76.2,4.4,47.2,70.8,68.8,8.01,7,0,50.5,Average
96.3,1.3,38.4,30.0,78.8,7.79,8,3,48.2,Poor
72.3,4.0,66.0,63.5,94.1,8.55,6,1,59.8,Average
100.0,3.4,68.3,60.9,87.9,7.38,9,0,75.6,Good
84.8,4.9,71.5,82.0,47.3,7.77,6,0,69.7,Good
64.0,3.3,60.9,61.9,73.6,7.32,3,0,67.3,Good
61.0,3.3,64.8,70.8,81.8,8.06,6,1,64.0,Average
82.8,5.0,73.9,97.1,79.9,4.89,5,1,68.8,Good
72.9,4.3,84.6,88.9,59.9,5.85,6,0,67.9,Good
86.0,4.3,36.7,87.5,100.0,9.32,6,1,72.7,Good
82.6,4.6,62.1,66.5,49.6,3.66,9,1,53.4,Average
75.0,1.3,71.4,82.1,52.7,6.9,8,1,58.5,Average
64.1,5.0,53.3,70.5,73.7,8.74,7,0,65.0,Good
54.8,4.8,95.7,71.1,100.0,6.97,6,0,73.8,Good
69.7,2.2,57.8,80.1,56.6,6.53,4,0,59.1,Average
88.0,3.4,67.3,65.0,65.7,7.28,2,2,57.7,Average
79.0,3.7,76.9,96.4,87.2,6.61,7,1,72.8,Good
58.6,3.6,58.5,71.6,69.7,7.14,8,4,45.9,Poor
78.4,4.3,38.5,83.3,64.6,6.14,6,1,59.0,Average
81.4,6.1,61.1,95.8,79.1,8.65,5,2,68.5,Good
63.6,5.5,84.5,89.5,74.4,9.09,7,1,69.9,Good
78.2,1.7,62.6,52.9,86.5,6.91,6,1,57.8,Average
76.8,4.8,54.5,80.7,90.7,5.16,10,0,67.8,Good
60.0,5.9,82.8,86.8,74.9,6.37,9,1,67.4,Good
81.0,4.4,62.7,87.4,74.7,6.84,8,2,62.0,Average
83.9,5.5,59.8,57.3,73.4,7.81,8,0,69.1,Good
91.2,7.0,70.4,64.1,77.8,5.69,4,0,74.6,Good
90.8,5.4,80.3,88.9,70.9,6.02,8,1,77.0,Good
56.7,4.2,99.0,62.6,70.0,7.81,7,2,60.3,Average
62.9,5.5,81.2,69.5,89.1,8.41,8,1,71.4,Good
83.2,4.0,86.6,97.6,94.3,6.23,7,0,80.2,Excellent
83.2,3.8,59.9,73.3,45.9,5.23,7,1,55.4,Average
83.2,3.2,51.6,63.1,70.2,10.0,10,1,62.3,Average
100.0,6.3,69.0,60.8,59.0,8.2,6,1,73.5,Good
84.0,2.5,69.7,79.0,65.0,6.73,8,1,63.5,Average
91.9,6.3,50.7,54.0,76.4,8.32,6,1,67.0,Good
89.4,4.6,65.2,70.3,80.7,6.93,8,0,69.9,Good
85.1,1.6,74.4,79.0,68.2,8.31,8,2,67.1,Good
71.6,4.4,73.8,93.5,39.4,7.32,7,1,60.6,Average
86.6,0.5,76.1,84.0,54.6,7.23,10,2,51.4,Average
65.2,4.8,72.7,63.3,84.3,6.94,5,1,67.0,Good
72.7,5.2,59.9,91.7,26.2,5.07,6,2,52.6,Average
69.2,2.9,59.8,69.5,89.0,9.81,7,2,58.0,Average
77.1,4.0,48.8,55.5,78.3,5.78,8,1,55.9,Average
100.0,6.9,96.6,71.4,91.1,5.2,7,1,88.3,Excellent
49.9,3.0,68.2,95.6,66.8,6.8,9,0,65.0,Good
85.6,2.1,64.4,76.5,37.0,5.75,5,1,56.4,Average
53.4,6.2,53.1,74.2,76.9,7.03,4,3,52.5,Average
69.4,6.9,99.0,98.6,90.4,8.06,7,0,87.1,Excellent
91.2,3.8,50.8,52.5,84.8,8.49,6,1,67.6,Good
76.9,5.4,61.1,54.7,59.4,8.24,8,1,61.1,Average
60.9,5.9,74.7,49.8,71.4,6.67,6,1,56.8,Average
66.0,2.6,77.6,79.6,61.5,7.17,6,1,63.3,Average
85.5,3.0,83.3,76.5,56.9,7.67,6,0,71.2,Good
65.8,5.8,96.9,97.1,85.3,4.64,7,1,75.5,Good
79.0,6.5,76.1,77.7,50.8,7.9,6,0,74.2,Good
76.6,4.7,51.1,67.9,55.7,5.06,6,0,59.0,Average
66.9,2.4,63.9,74.0,52.3,9.96,6,1,57.1,Average
100.0,7.0,72.9,75.8,46.2,6.53,8,1,71.2,Good
84.9,3.0,99.0,48.9,72.3,6.84,7,0,69.0,Good
47.6,3.3,45.6,100.0,88.6,6.02,10,2,58.9,Average
78.6,4.3,87.2,81.8,67.0,6.22,7,0,68.0,Good
66.7,6.3,70.9,77.2,45.9,10.0,5,1,73.2,Good
87.9,5.2,81.4,83.2,83.4,8.42,10,0,84.1,Excellent
64.9,4.5,66.4,84.6,97.0,4.93,7,1,59.9,Average
74.4,4.5,54.5,71.9,59.7,9.21,8,1,60.7,Average
83.1,3.9,80.0,64.5,62.3,8.77,8,2,62.2,Average
88.1,4.7,78.5,83.0,78.3,6.71,8,1,73.8,Good
59.2,0.5,83.6,79.8,95.9,7.53,8,1,59.5,Average
71.3,3.3,67.8,61.9,61.7,7.08,4,2,53.3,Average
69.4,4.2,58.4,95.3,48.7,9.86,7,1,62.0,Average
66.9,2.0,43.1,78.4,80.1,5.99,4,1,50.2,Average
100.0,4.4,81.1,84.9,82.8,7.3,6,1,72.4,Good
81.7,3.5,74.8,94.9,70.1,6.5,5,1,70.3,Good
58.3,6.6,52.5,74.3,61.1,5.09,7,1,52.7,Average
88.9,6.3,59.4,78.8,85.9,10.0,7,1,76.0,Good
100.0,3.1,60.5,86.2,78.4,5.45,7,2,65.7,Good
90.5,3.6,44.3,63.1,57.7,7.41,7,3,48.7,Poor
54.7,3.7,54.9,74.8,70.8,4.66,5,3,45.7,Poor
69.2,3.1,49.9,75.9,48.4,6.54,6,1,56.7,Average
93.7,4.1,61.4,59.7,81.0,7.69,8,0,68.2,Good
66.1,2.6,56.2,100.0,65.8,5.95,9,0,61.3,Average
82.2,2.0,42.0,52.9,63.0,7.92,4,0,53.1,Average
86.8,4.8,99.0,54.5,69.5,6.72,3,1,73.6,Good
63.0,4.8,88.0,93.7,70.6,8.72,5,0,78.9,Good
75.2,2.5,55.5,84.7,84.3,9.01,9,1,59.2,Average
35.0,5.2,72.4,58.6,79.5,6.28,9,1,61.8,Average
61.7,2.8,74.7,83.1,67.5,7.21,5,1,63.1,Average
72.5,4.2,87.1,96.0,82.2,7.36,7,0,82.3,Excellent
58.5,5.1,54.9,73.5,76.4,7.97,10,1,63.6,Average
98.9,3.7,85.5,100.0,63.2,7.12,7,0,78.0,Good
56.0,4.5,59.2,48.1,68.0,7.37,9,1,59.8,Average
69.8,3.0,46.6,84.4,67.6,6.76,8,3,51.5,Average
77.8,3.5,79.6,91.5,78.1,7.26,5,1,76.6,Good
96.2,3.5,88.7,87.4,64.1,8.92,6,0,80.7,Excellent
55.9,2.6,99.0,70.9,63.8,8.0,7,1,63.7,Average
92.3,3.5,48.8,69.6,100.0,8.08,7,1,62.7,Average
76.1,1.3,79.2,80.7,85.0,8.11,8,1,63.6,Average
62.3,3.0,61.4,86.2,57.8,6.88,7,0,56.2,Average
82.5,3.3,80.5,83.0,79.1,7.55,1,1,66.4,Good
78.8,3.4,44.5,89.6,71.9,5.58,4,1,61.3,Average
67.6,3.4,47.8,58.7,76.3,8.88,2,0,58.8,Average
77.0,3.7,55.6,70.6,72.2,3.2,7,0,65.0,Good
70.6,4.6,69.3,59.9,89.0,6.98,7,0,70.2,Good
77.6,5.2,57.7,68.2,75.5,8.7,7,1,64.0,Average
85.3,2.8,78.5,89.2,69.0,5.19,5,0,69.6,Good
98.2,1.9,84.4,75.6,86.7,7.66,8,0,77.2,Good
58.7,2.1,77.6,100.0,73.7,6.15,8,1,63.2,Average
100.0,3.0,93.9,76.9,71.9,6.58,4,0,76.0,Good
48.7,3.2,74.7,74.9,75.0,8.42,4,1,56.3,Average
73.9,2.6,48.5,75.6,68.5,7.38,6,0,58.7,Average
84.2,1.7,89.8,64.4,70.1,4.25,10,0,75.3,Good
79.9,3.1,58.3,73.1,60.6,5.73,10,2,59.5,Average
67.3,4.1,82.6,90.9,58.0,8.47,8,1,62.2,Average
73.1,4.8,93.2,75.7,54.0,7.73,5,0,63.3,Average
69.1,2.9,75.3,62.1,47.7,9.55,8,1,59.3,Average
67.7,3.1,44.1,60.1,55.9,9.46,6,1,55.5,Average
87.9,2.3,53.3,67.2,67.2,6.62,5,1,55.3,Average
81.0,3.7,89.2,75.1,71.6,10.0,2,1,73.1,Good
66.3,2.4,65.3,91.9,65.7,7.13,7,0,64.2,Average
88.6,4.7,69.3,53.9,32.3,5.75,5,1,56.6,Average
80.3,0.9,80.1,69.2,95.2,6.21,7,0,70.7,Good
87.4,3.2,79.1,76.2,87.4,3.94,2,0,67.6,Good
84.8,4.3,72.5,46.5,77.1,9.35,7,1,65.1,Good
64.4,4.1,64.7,61.5,100.0,9.33,2,2,62.1,Average
68.2,8.1,63.0,63.8,54.4,5.68,9,2,60.4,Average
86.5,4.4,81.7,62.1,100.0,6.78,8,2,75.6,Good
84.5,2.2,76.9,76.9,54.6,7.23,6,0,68.1,Good
75.7,3.6,63.9,71.6,73.8,5.76,8,1,63.8,Average
77.6,1.0,85.3,65.7,49.6,4.64,5,0,58.8,Average
93.9,3.7,65.9,80.4,70.2,6.81,7,0,74.0,Good
67.7,2.5,54.4,99.8,76.2,6.65,8,1,59.8,Average
83.7,5.3,55.9,98.6,67.5,6.56,1,1,66.3,Good
73.2,2.9,52.3,45.2,81.4,7.41,6,1,52.1,Average
73.0,3.6,63.6,82.7,71.6,9.1,6,2,63.7,Average
91.4,2.8,87.7,71.3,61.6,6.68,6,0,71.4,Good
87.6,6.6,55.1,76.3,60.9,7.34,9,0,78.9,Good
87.4,3.3,71.0,68.0,83.0,8.12,4,1,74.6,Good
94.3,6.7,57.5,75.8,59.5,7.88,5,1,71.2,Good
76.3,5.1,63.8,76.3,84.6,6.24,3,1,65.5,Good
85.5,4.6,43.8,65.3,89.6,7.23,10,2,57.3,Average
71.7,4.4,64.5,60.6,43.3,7.87,6,1,60.1,Average
80.5,4.4,64.9,67.3,88.1,5.52,6,2,61.7,Average
74.2,0.7,76.6,77.5,100.0,8.87,6,1,67.2,Good
77.4,3.4,71.6,83.0,74.0,9.1,8,1,73.6,Good
84.3,5.2,48.8,86.8,79.6,6.09,7,2,59.1,Average
64.5,3.7,85.3,66.6,86.6,7.37,10,0,68.5,Good
100.0,1.6,71.4,78.3,65.6,8.0,7,0,68.6,Good
61.9,3.7,71.2,88.4,72.9,6.34,6,0,69.4,Good
59.0,6.5,67.9,91.5,49.0,7.77,5,1,65.8,Good
92.2,5.8,59.7,73.1,72.2,7.33,6,0,69.4,Good
87.1,3.7,71.5,70.7,78.0,5.04,3,2,62.4,Average
84.7,5.3,75.6,76.9,78.3,7.74,7,0,71.6,Good
84.8,3.2,40.0,56.8,87.0,5.56,8,1,54.4,Average
75.8,1.1,59.4,71.1,57.6,8.41,5,0,57.8,Average
63.4,2.3,63.9,85.2,61.5,6.16,5,0,57.8,Average
77.1,6.3,72.1,83.6,100.0,6.87,10,0,83.5,Excellent
66.5,3.4,87.1,69.9,67.6,9.02,4,1,65.3,Good
89.7,3.4,55.7,77.3,73.2,7.79,2,1,68.3,Good
73.9,3.3,60.0,61.6,68.9,5.59,4,1,55.0,Average
64.4,6.8,59.8,84.6,56.9,5.68,3,1,61.1,Average
71.5,6.4,55.2,72.8,96.0,6.26,7,2,68.1,Good
81.8,7.4,62.4,69.9,61.6,7.65,6,0,71.9,Good
68.1,3.5,80.3,68.6,52.0,7.6,6,1,65.5,Good
64.5,4.3,51.1,73.1,62.8,5.92,9,1,58.7,Average
79.4,1.4,74.8,67.3,38.0,5.47,5,1,44.6,Poor
79.4,6.2,40.8,83.9,59.6,7.49,8,1,67.1,Good
68.9,1.9,59.0,68.1,54.5,6.85,10,1,57.3,Average
69.4,4.1,62.7,97.9,79.9,10.0,6,0,75.6,Good
79.2,2.0,94.8,96.0,59.2,7.15,8,2,57.6,Average
55.7,2.9,63.6,60.6,84.2,9.64,6,1,56.3,Average
56.3,2.5,32.8,75.0,92.4,5.46,8,4,38.0,Poor
65.9,2.8,36.0,64.2,82.5,4.9,3,1,46.7,Poor
73.0,2.9,68.5,69.1,66.6,5.53,3,0,67.2,Good
80.4,2.9,77.8,100.0,72.3,8.76,6,0,73.6,Good
96.7,5.1,74.0,69.4,45.6,9.56,5,0,71.8,Good
88.0,2.0,70.7,79.4,67.9,6.0,5,2,59.6,Average
73.8,4.2,86.6,82.1,56.2,6.46,6,1,67.8,Good
75.7,5.7,59.4,59.0,81.1,5.46,8,1,52.1,Average
62.0,3.0,82.3,61.2,100.0,4.56,6,1,60.5,Average
75.7,2.7,41.9,55.9,78.0,8.11,5,1,49.3,Poor
72.0,3.4,53.5,60.7,38.1,7.41,6,4,40.9,Poor
80.5,5.7,39.1,31.2,64.2,7.11,5,1,52.7,Average
64.4,4.1,63.6,82.2,72.0,5.14,5,2,55.8,Average
83.3,3.0,67.3,100.0,71.4,9.4,3,1,60.0,Average
97.5,4.6,69.8,76.2,58.3,6.4,7,2,62.3,Average
74.5,2.0,69.0,52.8,73.9,7.85,5,1,61.2,Average
81.6,4.9,53.2,64.4,50.1,5.06,8,4,50.5,Average
85.7,4.5,65.0,67.1,54.9,6.83,4,1,63.7,Average
70.4,3.3,44.0,58.7,80.3,7.51,5,0,54.4,Average
79.1,2.5,89.8,86.9,53.7,7.56,10,0,75.5,Good
76.2,2.4,63.1,86.2,78.6,7.32,5,1,64.7,Average
77.4,4.7,60.2,56.7,48.1,7.79,6,1,57.4,Average
65.2,5.8,93.4,84.9,98.2,5.52,4,0,71.0,Good
76.3,2.8,48.1,96.9,57.6,7.38,4,1,60.7,Average
83.0,4.5,50.0,100.0,66.4,7.26,10,0,68.4,Good
96.3,0.5,50.5,100.0,75.3,7.42,7,2,59.3,Average
89.4,2.9,66.9,60.5,61.0,7.2,7,0,65.1,Good
100.0,3.8,74.9,100.0,72.3,5.32,3,1,76.0,Good
65.3,2.3,79.8,68.7,79.2,5.26,7,0,63.8,Average
88.2,2.3,99.0,65.1,85.4,4.0,9,0,73.3,Good
78.6,2.7,32.0,78.9,82.7,8.24,9,3,55.8,Average
100.0,4.3,77.7,65.3,67.3,8.26,8,0,72.6,Good
64.7,3.5,59.1,80.0,67.7,8.28,4,0,65.6,Good
64.2,0.5,58.6,54.2,100.0,7.53,7,0,58.4,Average
67.6,0.5,58.1,70.4,85.2,4.11,8,1,49.7,Poor
46.3,2.8,53.5,93.3,55.3,5.66,3,1,49.9,Poor
68.6,4.5,95.0,73.1,71.6,7.34,4,0,74.7,Good
65.4,0.5,81.5,76.1,64.6,7.29,8,1,62.7,Average
78.1,3.0,68.4,81.1,67.8,6.79,8,0,72.3,Good
80.8,3.0,89.6,91.6,50.3,7.62,3,1,64.7,Average
100.0,6.0,43.8,49.2,63.4,7.12,8,2,55.4,Average
89.3,3.2,46.7,82.8,99.0,7.27,7,3,57.1,Average
67.9,4.4,33.2,70.0,79.3,6.21,8,3,43.7,Poor
63.4,4.0,56.8,76.5,30.1,8.47,5,1,52.2,Average
82.9,0.5,70.6,89.9,89.5,6.5,8,0,67.2,Good
57.5,5.0,69.6,56.1,87.4,5.24,8,1,64.0,Average
100.0,4.1,70.4,58.8,64.3,6.02,6,0,61.2,Average
92.5,4.6,45.4,45.0,81.5,6.61,7,0,62.0,Average
69.4,8.5,80.9,65.8,56.2,8.49,5,0,72.1,Good
